@relation spatial4j

@attribute ST01 numeric
@attribute ST02 numeric
@attribute ST03 numeric
@attribute ST04 numeric
@attribute ST05 numeric
@attribute ST06 numeric
@attribute ST07 numeric
@attribute ST08 numeric
@attribute ST09 numeric
@attribute ST10 numeric
@attribute ST11 numeric
@attribute CT01 numeric
@attribute CT02 numeric
@attribute CT03 numeric
@attribute CT04 numeric
@attribute CT05 numeric
@attribute CT06 numeric
@attribute CT07 numeric
@attribute CT08 numeric
@attribute CT09 numeric
@attribute CT10 numeric
@attribute CT11 numeric
@attribute CT12 numeric
@attribute CT13 numeric
@attribute CT14 numeric
@attribute CT15 numeric
@attribute CT16 numeric
@attribute CT17 numeric
@attribute CT18 numeric
@attribute CT19 numeric
@attribute CT20 numeric
@attribute CT21 numeric
@attribute CT22 numeric
@attribute CT23 numeric
@attribute AT01 numeric
@attribute AT02 numeric
@attribute AT03 numeric
@attribute AT04 numeric
@attribute AT05 numeric
@attribute AT06 numeric
@attribute AT07 numeric
@attribute AT08 numeric
@attribute AT09 numeric
@attribute AT10 numeric
@attribute AT11 numeric
@attribute AT12 numeric
@attribute AT13 numeric
@attribute AT14 numeric
@attribute AT15 numeric
@attribute AT16 numeric
@attribute CB01 numeric
@attribute CB02 numeric
@attribute CB03 numeric
@attribute CB04 numeric
@attribute CB05 numeric
@attribute CB06 numeric
@attribute CB07 numeric
@attribute CB08 numeric
@attribute CB09 numeric
@attribute CB10 numeric
@attribute CB11 numeric
@attribute CB12 numeric
@attribute CB13 numeric
@attribute CB14 numeric
@attribute CB15 numeric
@attribute CB16 numeric
@attribute CB17 numeric
@attribute CB18 numeric
@attribute CB19 numeric
@attribute CB20 numeric
@attribute CB21 numeric
@attribute CB22 numeric
@attribute CB23 numeric
@attribute AB01 numeric
@attribute AB02 numeric
@attribute AB03 numeric
@attribute AB04 numeric
@attribute AB05 numeric
@attribute AB06 numeric
@attribute AB07 numeric
@attribute AB08 numeric
@attribute AB09 numeric
@attribute AB10 numeric
@attribute AB11 numeric
@attribute AB12 numeric
@attribute AB13 numeric
@attribute AB14 numeric
@attribute AB15 numeric
@attribute AB16 numeric
@attribute flag {difficult,easy}

@data
20,8,2,4,0,21,9,21,18,62,80,21,11,13,10,0,78,31,1,3,4,0,0,0,0,0,3,4,0,4,15,0,0,9,0.032,0.097,0.129,0,0,0,0,0,0.097,0.129,0,0.129,0.484,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,easy
20,8,2,4,0,21,9,21,18,62,80,21,11,13,10,0,78,31,1,3,4,0,0,0,0,0,3,4,0,4,15,0,0,9,0.032,0.097,0.129,0,0,0,0,0,0.097,0.129,0,0.129,0.484,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,difficult
20,7,1,3,0,21,9,21,18,62,80,21,11,13,10,0,78,31,1,3,4,0,0,0,0,0,3,4,0,4,15,0,0,9,0.032,0.097,0.129,0,0,0,0,0,0.097,0.129,0,0.129,0.484,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,easy
20,7,1,3,0,21,9,21,18,62,80,21,11,13,10,0,78,31,1,3,4,0,0,0,0,0,3,4,0,4,15,0,0,9,0.032,0.097,0.129,0,0,0,0,0,0.097,0.129,0,0.129,0.484,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,easy
20,7,1,3,0,21,9,21,18,62,80,21,11,13,10,0,78,31,1,3,4,0,0,0,0,0,3,4,0,4,15,0,0,9,0.032,0.097,0.129,0,0,0,0,0,0.097,0.129,0,0.129,0.484,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,difficult
21,6,2,4,1,21,9,21,18,62,80,21,11,13,10,0,78,31,1,3,4,0,0,0,0,0,3,4,0,4,15,0,0,9,0.032,0.097,0.129,0,0,0,0,0,0.097,0.129,0,0.129,0.484,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,difficult
21,5,1,3,1,21,9,21,18,62,80,21,11,13,10,0,78,31,1,3,4,0,0,0,0,0,3,4,0,4,15,0,0,9,0.032,0.097,0.129,0,0,0,0,0,0.097,0.129,0,0.129,0.484,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,easy
20,8,2,3,0,21,9,21,18,62,80,21,11,13,10,0,78,31,1,3,4,0,0,0,0,0,3,4,0,4,15,0,0,9,0.032,0.097,0.129,0,0,0,0,0,0.097,0.129,0,0.129,0.484,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,difficult
21,5,2,3,1,21,9,21,18,62,80,21,11,13,10,0,78,31,1,3,4,0,0,0,0,0,3,4,0,4,15,0,0,9,0.032,0.097,0.129,0,0,0,0,0,0.097,0.129,0,0.129,0.484,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,difficult
16,4,2,2,1,24,4,21,18,62,80,2,11,4,13,0,37,28,2,2,6,0,0,0,0,0,0,0,0,3,15,0,1,6,0.071,0.071,0.214,0,0,0,0,0,0,0,0,0.107,0.536,0,0.036,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,difficult
16,4,2,2,1,24,4,21,18,62,80,2,11,4,13,0,37,28,2,2,6,0,0,0,0,0,0,0,0,3,15,0,1,6,0.071,0.071,0.214,0,0,0,0,0,0,0,0,0.107,0.536,0,0.036,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,easy
21,2,1,1,1,24,17,24,17,62,80,2,11,4,13,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,11,4,13,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,easy
21,2,1,1,1,24,17,24,17,62,80,2,11,4,13,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,11,4,13,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,easy
16,5,2,3,1,21,9,21,18,62,80,21,11,13,10,0,78,31,1,3,4,0,0,0,0,0,3,4,0,4,15,0,0,9,0.032,0.097,0.129,0,0,0,0,0,0.097,0.129,0,0.129,0.484,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,easy
16,5,2,3,1,21,9,21,18,62,80,21,11,13,10,0,78,31,1,3,4,0,0,0,0,0,3,4,0,4,15,0,0,9,0.032,0.097,0.129,0,0,0,0,0,0.097,0.129,0,0.129,0.484,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,difficult
16,2,1,1,1,17,9,17,9,62,80,1,1,14,9,0,85,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,14,9,0,85,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,easy
16,10,1,4,0,11,18,11,6,62,80,58,9,35,17,0,147,7,1,1,1,0,0,0,0,0,0,0,0,1,4,1,0,2,0.143,0.143,0.143,0,0,0,0,0,0,0,0,0.143,0.571,0.143,0,0.143,58,9,35,17,0,147,11,1,0,5,0,0,0,0,0,0,0,0,0,6,5,0,5,0.091,0,0.455,0,0,0,0,0,0,0,0,0,0.545,0.455,0,0.455,easy
16,4,3,3,1,11,11,17,9,62,80,58,9,35,17,0,147,41,4,1,7,0,0,0,0,0,0,0,0,9,22,0,2,5,0.098,0.024,0.171,0,0,0,0,0,0,0,0,0.22,0.537,0,0.049,0,1,1,14,9,0,85,1,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,easy
16,5,3,4,1,15,18,14,14,62,80,21,3,16,5,0,56,7,2,2,1,1,0,1,0,0,0,0,0,0,5,2,0,0,0.286,0.286,0.143,0.143,0,0.143,0,0,0,0,0,0,0.714,0.286,0,0.286,2,7,27,12,0,90,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,easy
20,8,2,4,0,21,9,21,18,62,80,21,11,13,10,0,78,31,1,3,4,0,0,0,0,0,3,4,0,4,15,0,0,9,0.032,0.097,0.129,0,0,0,0,0,0.097,0.129,0,0.129,0.484,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,easy
20,8,2,4,0,21,9,21,18,62,80,21,11,13,10,0,78,31,1,3,4,0,0,0,0,0,3,4,0,4,15,0,0,9,0.032,0.097,0.129,0,0,0,0,0,0.097,0.129,0,0.129,0.484,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,difficult
20,7,1,3,0,21,9,21,18,62,80,21,11,13,10,0,78,31,1,3,4,0,0,0,0,0,3,4,0,4,15,0,0,9,0.032,0.097,0.129,0,0,0,0,0,0.097,0.129,0,0.129,0.484,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,easy
20,7,1,3,0,21,9,21,18,62,80,21,11,13,10,0,78,31,1,3,4,0,0,0,0,0,3,4,0,4,15,0,0,9,0.032,0.097,0.129,0,0,0,0,0,0.097,0.129,0,0.129,0.484,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,easy
20,7,1,3,0,21,9,21,18,62,80,21,11,13,10,0,78,31,1,3,4,0,0,0,0,0,3,4,0,4,15,0,0,9,0.032,0.097,0.129,0,0,0,0,0,0.097,0.129,0,0.129,0.484,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,difficult
21,6,2,4,1,21,9,21,18,62,80,21,11,13,10,0,78,31,1,3,4,0,0,0,0,0,3,4,0,4,15,0,0,9,0.032,0.097,0.129,0,0,0,0,0,0.097,0.129,0,0.129,0.484,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,difficult
21,5,1,3,1,21,9,21,18,62,80,21,11,13,10,0,78,31,1,3,4,0,0,0,0,0,3,4,0,4,15,0,0,9,0.032,0.097,0.129,0,0,0,0,0,0.097,0.129,0,0.129,0.484,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,easy
20,8,2,3,0,21,9,21,18,62,80,21,11,13,10,0,78,31,1,3,4,0,0,0,0,0,3,4,0,4,15,0,0,9,0.032,0.097,0.129,0,0,0,0,0,0.097,0.129,0,0.129,0.484,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,difficult
21,5,2,3,1,21,9,21,18,62,80,21,11,13,10,0,78,31,1,3,4,0,0,0,0,0,3,4,0,4,15,0,0,9,0.032,0.097,0.129,0,0,0,0,0,0.097,0.129,0,0.129,0.484,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,difficult
16,6,2,4,1,21,14,21,18,62,80,21,11,13,10,0,78,16,0,1,6,0,0,0,0,0,0,0,0,5,6,1,0,2,0,0.063,0.375,0,0,0,0,0,0,0,0,0.313,0.375,0.063,0,0.063,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,easy
16,6,2,4,1,21,14,21,18,62,80,21,11,13,10,0,78,16,0,1,6,0,0,0,0,0,0,0,0,5,6,1,0,2,0,0.063,0.375,0,0,0,0,0,0,0,0,0.313,0.375,0.063,0,0.063,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,difficult
16,5,1,3,1,21,14,21,18,62,80,21,11,13,10,0,78,16,0,1,6,0,0,0,0,0,0,0,0,5,6,1,0,2,0,0.063,0.375,0,0,0,0,0,0,0,0,0.313,0.375,0.063,0,0.063,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,easy
16,5,1,3,1,21,14,21,18,62,80,21,11,13,10,0,78,16,0,1,6,0,0,0,0,0,0,0,0,5,6,1,0,2,0,0.063,0.375,0,0,0,0,0,0,0,0,0.313,0.375,0.063,0,0.063,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,easy
16,5,1,3,1,21,14,21,18,62,80,21,11,13,10,0,78,16,0,1,6,0,0,0,0,0,0,0,0,5,6,1,0,2,0,0.063,0.375,0,0,0,0,0,0,0,0,0.313,0.375,0.063,0,0.063,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,difficult
20,5,1,3,1,21,14,21,18,62,80,21,11,13,10,0,78,16,0,1,6,0,0,0,0,0,0,0,0,5,6,1,0,2,0,0.063,0.375,0,0,0,0,0,0,0,0,0.313,0.375,0.063,0,0.063,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,easy
14,6,2,4,1,21,11,21,18,62,80,21,11,13,10,0,78,22,0,3,3,2,0,2,0,0,1,1,0,2,17,0,0,3,0,0.136,0.136,0.091,0,0.091,0,0,0.045,0.045,0,0.091,0.773,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,easy
14,6,2,4,1,21,11,21,18,62,80,21,11,13,10,0,78,22,0,3,3,2,0,2,0,0,1,1,0,2,17,0,0,3,0,0.136,0.136,0.091,0,0.091,0,0,0.045,0.045,0,0.091,0.773,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,easy
16,5,1,3,1,21,11,21,18,62,80,21,11,13,10,0,78,22,0,3,3,2,0,2,0,0,1,1,0,2,17,0,0,3,0,0.136,0.136,0.091,0,0.091,0,0,0.045,0.045,0,0.091,0.773,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,easy
16,5,1,3,1,21,11,21,18,62,80,21,11,13,10,0,78,22,0,3,3,2,0,2,0,0,1,1,0,2,17,0,0,3,0,0.136,0.136,0.091,0,0.091,0,0,0.045,0.045,0,0.091,0.773,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,easy
16,5,1,3,1,21,11,21,18,62,80,21,11,13,10,0,78,22,0,3,3,2,0,2,0,0,1,1,0,2,17,0,0,3,0,0.136,0.136,0.091,0,0.091,0,0,0.045,0.045,0,0.091,0.773,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,difficult
16,6,2,4,1,21,11,21,18,62,80,21,11,13,10,0,78,22,0,3,3,2,0,2,0,0,1,1,0,2,17,0,0,3,0,0.136,0.136,0.091,0,0.091,0,0,0.045,0.045,0,0.091,0.773,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,easy
16,6,2,4,1,21,11,21,18,62,80,21,11,13,10,0,78,22,0,3,3,2,0,2,0,0,1,1,0,2,17,0,0,3,0,0.136,0.136,0.091,0,0.091,0,0,0.045,0.045,0,0.091,0.773,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,difficult
16,5,1,3,1,21,11,21,18,62,80,21,11,13,10,0,78,22,0,3,3,2,0,2,0,0,1,1,0,2,17,0,0,3,0,0.136,0.136,0.091,0,0.091,0,0,0.045,0.045,0,0.091,0.773,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,easy
16,5,1,3,1,21,11,21,18,62,80,21,11,13,10,0,78,22,0,3,3,2,0,2,0,0,1,1,0,2,17,0,0,3,0,0.136,0.136,0.091,0,0.091,0,0,0.045,0.045,0,0.091,0.773,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,easy
16,5,1,3,1,21,11,21,18,62,80,21,11,13,10,0,78,22,0,3,3,2,0,2,0,0,1,1,0,2,17,0,0,3,0,0.136,0.136,0.091,0,0.091,0,0,0.045,0.045,0,0.091,0.773,0,0,0,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,difficult
16,7,3,5,1,14,9,21,18,62,80,2,7,27,12,0,90,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,easy
16,6,2,4,1,14,9,21,18,62,80,2,7,27,12,0,90,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,21,11,13,10,0,78,18,2,3,3,0,0,0,0,0,1,1,0,4,7,1,0,3,0.111,0.167,0.167,0,0,0,0,0,0.056,0.056,0,0.222,0.389,0.056,0,0.056,easy
