@relation Jsqlparser

@attribute FT1 numeric
@attribute FT2 numeric
@attribute FT3 numeric
@attribute FT4 numeric
@attribute FT5 numeric
@attribute FT6 numeric
@attribute FT7 numeric
@attribute BS1 numeric
@attribute BS2 numeric
@attribute BS3 numeric
@attribute BS4 numeric
@attribute BS5 numeric
@attribute BS6 numeric
@attribute BS7 numeric
@attribute BS8 numeric
@attribute BS9 numeric
@attribute BS10 numeric
@attribute BS11 numeric
@attribute BS12 numeric
@attribute BS13 numeric
@attribute BS14 numeric
@attribute BS15 numeric
@attribute BS16 numeric
@attribute BS17 numeric
@attribute BS18 numeric
@attribute BS19 numeric
@attribute BS20 numeric
@attribute BS21 numeric
@attribute BS22 numeric
@attribute BS23 numeric
@attribute BS24 numeric
@attribute BS25 numeric
@attribute BS26 numeric
@attribute BS27 numeric
@attribute BS28 numeric
@attribute BS29 numeric
@attribute BS30 numeric
@attribute BS31 numeric
@attribute BS32 numeric
@attribute BS33 numeric
@attribute BS34 numeric
@attribute BS35 numeric
@attribute BS36 numeric
@attribute BS37 numeric
@attribute BS38 numeric
@attribute BS39 numeric
@attribute BS40 numeric
@attribute BS41 numeric
@attribute BS42 numeric
@attribute BS43 numeric
@attribute BS44 numeric
@attribute BS45 numeric
@attribute BS46 numeric
@attribute BS47 numeric
@attribute BS48 numeric
@attribute BS49 numeric
@attribute BS50 numeric
@attribute BS51 numeric
@attribute BS52 numeric
@attribute BS53 numeric
@attribute BS54 numeric
@attribute BS55 numeric
@attribute BS56 numeric
@attribute BS57 numeric
@attribute BS58 numeric
@attribute BS59 numeric
@attribute BS60 numeric
@attribute BS61 numeric
@attribute BS62 numeric
@attribute BS63 numeric
@attribute BS64 numeric
@attribute BS65 numeric
@attribute BS66 numeric
@attribute BS67 numeric
@attribute BS68 numeric
@attribute BS69 numeric
@attribute BS70 numeric
@attribute BS71 numeric
@attribute BS72 numeric
@attribute flag {difficult,easy}

@data
14,12,2,7,0,12,10,196,184,694,35,795,20,0,54,22,0,2,1,1,0,0,1,0,0,0,0,3,7,1,1,2,0,0.091,0.045,0.045,0,0,0,0.136,0.318,0.045,0.045,0.045,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,8,3,3,1,20,14,196,184,3,5,11,0,1,13,15,2,2,1,1,0,0,1,0,0,0,0,4,10,0,1,3,0.133,0.133,0.067,0.067,0,0,0,0.267,0.667,0,0.067,0,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,27,3,24,1,24,12,196,184,25,79,32,20,1,34,70,0,7,7,1,1,0,0,0,2,2,0,19,13,2,4,21,0,0.1,0.1,0.014,0.029,0.029,0,0.271,0.186,0.029,0.057,0.029,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,13,2,10,1,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
6,11,4,4,0,5,8,196,184,1,5,14,3,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,0,0,0,0,0,0,0,0,0.667,0.333,0,0.333,2,1,4,1,1,25,5,0,2,0,1,0,1,0,0,0,0,0,0,4,1,0,0,0,0.4,0,0.2,0,0,0,0,0.8,0.2,0,0.2,difficult
14,22,2,19,0,12,20,196,184,694,35,795,20,0,54,53,0,3,1,0,0,0,0,0,0,0,0,4,5,1,1,2,0,0.057,0.019,0,0,0,0,0.075,0.094,0.019,0.019,0.019,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,7,3,4,1,24,12,196,184,25,79,32,20,1,34,70,0,7,7,1,1,0,0,0,2,2,0,19,13,2,4,21,0,0.1,0.1,0.014,0.029,0.029,0,0.271,0.186,0.029,0.057,0.029,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,7,2,2,1,20,8,196,184,3,5,11,0,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,8,0,8,7,1,40,7,1,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0.143,0.143,0,0,0.143,0.143,0,0,0.286,0.143,0,0.143,easy
14,11,2,6,0,12,22,196,184,694,35,795,20,0,54,48,0,6,10,4,4,0,0,0,0,0,0,13,7,1,5,33,0,0.125,0.208,0.083,0,0,0,0.271,0.146,0.021,0.104,0.021,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,easy
14,12,5,6,0,11,18,196,184,8,21,52,8,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,8,6,1,32,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,easy
